id,session_id,timestamp,mudra_name,confidence,handedness
96,5,2026-09-09T21:03:33.964690,Pataka,1.0,Right
97,5,2026-09-09T21:03:34.167491,Pataka,1.0,Right
98,5,2026-09-09T21:03:34.373446,Pataka,1.0,Right
99,5,2026-09-09T21:03:34.598019,Pataka,1.0,Right
100,5,2026-09-09T21:03:34.804799,Pataka,1.0,Right
101,5,2026-09-09T21:03:35.081277,Pataka,1.0,Right
102,5,2026-09-09T21:03:35.207790,Pataka,1.0,Right
103,5,2026-09-09T21:03:35.332965,Pataka,1.0,Right
104,5,2026-09-09T21:03:35.534530,Pataka,1.0,Right
105,5,2026-09-09T21:03:35.747865,Ardhapataka,0.8,Right
106,5,2026-09-09T21:03:35.970764,Ardhapataka,1.0,Right
107,5,2026-09-09T21:03:36.190738,Mushti,1.0,Right
108,5,2026-09-09T21:03:36.443762,Mushti,1.0,Right
109,5,2026-09-09T21:03:36.671726,Katakamukha,1.0,Right
110,5,2026-09-09T21:03:36.880079,Katakamukha,1.0,Right
111,5,2026-09-09T21:03:37.098526,Katakamukha,1.0,Right
112,5,2026-09-09T21:03:37.308607,Ardhapataka,1.0,Right
113,5,2026-09-09T21:03:37.511482,Ardhapataka,1.0,Right
114,5,2026-09-09T21:03:37.733426,Ardhapataka,1.0,Right
115,5,2026-09-09T21:03:37.950502,Ardhapataka,1.0,Right
116,5,2026-09-09T21:03:38.160807,Ardhapataka,1.0,Right
117,5,2026-09-09T21:03:38.368456,Ardhapataka,1.0,Right
118,5,2026-09-09T21:03:38.589356,Ardhapataka,1.0,Right
119,5,2026-09-09T21:03:38.795145,Ardhapataka,1.0,Right
120,5,2026-09-09T21:03:39.009323,Ardhapataka,1.0,Right
121,5,2026-09-09T21:03:39.227585,Ardhapataka,1.0,Right
122,5,2026-09-09T21:03:39.433757,Ardhapataka,1.0,Right
123,5,2026-09-09T21:03:39.589751,Ardhapataka,1.0,Right
124,5,2026-09-09T21:03:39.779807,Ardhapataka,1.0,Right
125,5,2026-09-09T21:03:39.999605,Pataka,1.0,Right
126,5,2026-09-09T21:03:40.214312,Pataka,1.0,Right
127,5,2026-09-09T21:03:40.418476,Pataka,1.0,Right
128,5,2026-09-09T21:03:40.626565,Pataka,1.0,Right
129,5,2026-09-09T21:03:40.757549,Pataka,1.0,Right
130,5,2026-09-09T21:03:40.960731,Pataka,1.0,Right
131,5,2026-09-09T21:03:41.172505,Pataka,1.0,Right
132,5,2026-09-09T21:03:41.396617,Pataka,1.0,Right
133,5,2026-09-09T21:03:41.615983,Pataka,1.0,Right
134,5,2026-09-09T21:03:41.833342,Pataka,1.0,Right
135,5,2026-09-09T21:03:42.002235,Pataka,1.0,Right
136,5,2026-09-09T21:03:42.149832,Trishula,1.0,Right
137,5,2026-09-09T21:03:42.359567,Trishula,1.0,Right
138,5,2026-09-09T21:03:42.574627,Trishula,1.0,Right
139,5,2026-09-09T21:03:42.783997,Pataka,1.0,Right
140,5,2026-09-09T21:03:42.983831,Pataka,1.0,Right
141,5,2026-09-09T21:03:43.660293,Pataka,1.0,Right
142,5,2026-09-09T21:03:43.841307,Pataka,1.0,Right
143,5,2026-09-09T21:03:44.924100,Pataka,1.0,Right
144,5,2026-09-09T21:03:45.114869,Pataka,1.0,Right
145,5,2026-09-09T21:03:45.306889,Pataka,1.0,Right
146,5,2026-09-09T21:03:45.481023,Pataka,1.0,Right
147,5,2026-09-09T21:03:45.595278,Pataka,1.0,Right
148,5,2026-09-09T21:03:45.726746,Pataka,1.0,Right
149,5,2026-09-09T21:03:45.862357,Pataka,1.0,Right
150,5,2026-09-09T21:03:45.996697,Pataka,1.0,Right
151,5,2026-09-09T21:03:46.132705,Pataka,1.0,Right
152,5,2026-09-09T21:03:46.279619,Pataka,1.0,Right
153,5,2026-09-09T21:03:46.436066,Pataka,1.0,Right
154,5,2026-09-09T21:03:46.595512,Pataka,1.0,Right
155,5,2026-09-09T21:03:46.710627,Mushti,1.0,Right
156,5,2026-09-09T21:03:46.834914,Mushti,1.0,Right
157,5,2026-09-09T21:03:46.979724,Mushti,1.0,Right
158,5,2026-09-09T21:03:47.101652,Mushti,1.0,Right
159,5,2026-09-09T21:03:47.222971,Mushti,1.0,Right
160,5,2026-09-09T21:03:47.343498,Mushti,1.0,Right
161,5,2026-09-09T21:03:47.460991,Mushti,1.0,Right
162,5,2026-09-09T21:03:47.578175,Mushti,1.0,Right
163,5,2026-09-09T21:03:47.697934,Mushti,1.0,Right
164,5,2026-09-09T21:03:47.815981,Mushti,1.0,Right
165,5,2026-09-09T21:03:47.943687,Mushti,1.0,Right
166,5,2026-09-09T21:03:48.075731,Mushti,1.0,Right
167,5,2026-09-09T21:03:48.195673,Mushti,1.0,Right
168,5,2026-09-09T21:03:48.297768,Mushti,1.0,Right
169,5,2026-09-09T21:03:48.403602,Mushti,1.0,Right
170,5,2026-09-09T21:03:48.538698,Mushti,1.0,Right
171,5,2026-09-09T21:03:48.708920,Mushti,1.0,Right
172,5,2026-09-09T21:03:48.851455,Mushti,1.0,Right
173,5,2026-09-09T21:03:48.964297,Mushti,1.0,Right
174,5,2026-09-09T21:03:49.141127,Mushti,1.0,Right
175,5,2026-09-09T21:03:49.306757,Mushti,1.0,Right
176,5,2026-09-09T21:03:49.480635,Mushti,1.0,Right
177,5,2026-09-09T21:03:49.659678,Mushti,1.0,Right
178,5,2026-09-09T21:03:49.850963,Mushti,1.0,Right
179,5,2026-09-09T21:03:50.031317,Mushti,1.0,Right
180,5,2026-09-09T21:03:50.210170,Mushti,1.0,Right
181,5,2026-09-09T21:03:50.395919,Mushti,1.0,Right
182,5,2026-09-09T21:03:50.558885,Mushti,1.0,Right
183,5,2026-09-09T21:03:50.739615,Mushti,1.0,Right
184,5,2026-09-09T21:03:50.923130,Mushti,1.0,Right
185,5,2026-09-09T21:03:51.117124,Mushti,1.0,Right
186,5,2026-09-09T21:03:51.300508,Mushti,1.0,Right
187,5,2026-09-09T21:03:51.491601,Mushti,1.0,Right
188,5,2026-09-09T21:03:51.680474,Shikhara,1.0,Right
189,5,2026-09-09T21:03:51.865770,Shikhara,1.0,Right
190,5,2026-09-09T21:03:52.062219,Shikhara,1.0,Right
191,5,2026-09-09T21:03:52.247583,Shikhara,1.0,Right
192,5,2026-09-09T21:03:52.464644,Shikhara,1.0,Right
193,5,2026-09-09T21:03:52.664223,Shikhara,1.0,Right
194,5,2026-09-09T21:03:52.873123,Shikhara,1.0,Right
195,5,2026-09-09T21:03:53.064032,Shikhara,1.0,Right
196,5,2026-09-09T21:03:53.251025,Shikhara,1.0,Right
197,5,2026-09-09T21:03:53.435823,Shikhara,1.0,Right
198,5,2026-09-09T21:03:53.614478,Shikhara,1.0,Right
199,5,2026-09-09T21:03:53.809564,Shikhara,1.0,Right
200,5,2026-09-09T21:03:53.993626,Shikhara,1.0,Right
201,5,2026-09-09T21:03:54.176220,Shikhara,1.0,Right
202,5,2026-09-09T21:03:54.371189,Shikhara,1.0,Right
203,5,2026-09-09T21:03:54.577046,Shikhara,1.0,Right
204,5,2026-09-09T21:03:54.771682,Shikhara,1.0,Right
205,5,2026-09-09T21:03:54.981963,Ardhapataka,1.0,Right
206,5,2026-09-09T21:03:55.185311,Ardhapataka,1.0,Right
207,5,2026-09-09T21:03:55.407012,Ardhapataka,0.8,Right
208,5,2026-09-09T21:03:55.617475,Ardhapataka,0.8,Right
209,5,2026-09-09T21:03:55.822381,Ardhapataka,0.8,Right
210,5,2026-09-09T21:03:56.032229,Ardhapataka,0.8,Right
211,5,2026-09-09T21:03:56.232842,Ardhapataka,1.0,Right
212,5,2026-09-09T21:03:56.450803,Ardhapataka,1.0,Right
213,5,2026-09-09T21:03:56.631257,Ardhapataka,0.8,Right
214,5,2026-09-09T21:03:56.840253,Ardhapataka,1.0,Right
215,5,2026-09-09T21:03:57.052503,Ardhapataka,0.8,Right
216,5,2026-09-09T21:03:57.271113,Ardhapataka,1.0,Right
217,5,2026-09-09T21:03:57.481697,Ardhapataka,1.0,Right
218,5,2026-09-09T21:03:57.809233,Ardhapataka,1.0,Right
219,5,2026-09-09T21:03:58.032638,Ardhapataka,1.0,Right
220,5,2026-09-09T21:03:58.884617,Ardhapataka,1.0,Right
221,5,2026-09-09T21:03:59.097051,Mushti,1.0,Right
222,5,2026-09-09T21:03:59.278825,Mushti,1.0,Right
223,5,2026-09-09T21:03:59.455973,Mushti,0.8,Right
224,5,2026-09-09T21:03:59.644007,Mushti,1.0,Right
225,5,2026-09-09T21:03:59.858559,Chandrakala,1.0,Right
226,5,2026-09-09T21:04:00.070045,Pataka,0.8,Right
227,5,2026-09-09T21:04:00.250978,Pataka,1.0,Right
228,5,2026-09-09T21:04:00.484962,Pataka,0.8,Right
229,5,2026-09-09T21:04:00.629901,Pataka,1.0,Right
230,5,2026-09-09T21:04:00.807806,Pataka,1.0,Right
231,5,2026-09-09T21:04:01.014988,Pataka,1.0,Right
232,5,2026-09-09T21:04:01.190478,Pataka,1.0,Right
233,5,2026-09-09T21:04:01.379030,Pataka,0.8,Right
234,5,2026-09-09T21:04:01.567527,Pataka,1.0,Right
235,5,2026-09-09T21:04:01.759299,Pataka,0.8,Right
236,5,2026-09-09T21:04:01.957864,Pataka,0.8,Right
237,5,2026-09-09T21:04:02.144091,Pataka,0.8,Right
238,5,2026-09-09T21:04:02.324760,Pataka,0.8,Right
239,5,2026-09-09T21:04:02.545010,Pataka,0.8,Right
240,5,2026-09-09T21:04:02.749592,Pataka,0.8,Right
241,5,2026-09-09T21:04:02.947928,Pataka,0.8,Right
242,5,2026-09-09T21:04:03.184937,Pataka,0.8,Right
243,5,2026-09-09T21:04:03.390582,Pataka,0.8,Right
244,5,2026-09-09T21:04:03.586430,Pataka,0.8,Right
245,5,2026-09-09T21:04:03.777577,Pataka,0.8,Right
246,5,2026-09-09T21:04:03.976969,Pataka,1.0,Right
247,5,2026-09-09T21:04:04.185583,Pataka,1.0,Right
248,5,2026-09-09T21:04:04.432973,Pataka,1.0,Right
249,5,2026-09-09T21:04:04.629269,Pataka,1.0,Right
250,5,2026-09-09T21:04:04.849874,Pataka,1.0,Right
251,5,2026-09-09T21:04:05.065347,Pataka,1.0,Right
252,5,2026-09-09T21:04:05.219067,Pataka,1.0,Right
253,5,2026-09-09T21:04:05.411532,Pataka,1.0,Right
254,5,2026-09-09T21:04:05.617443,Pataka,1.0,Right
255,5,2026-09-09T21:04:05.820831,Pataka,1.0,Right
256,5,2026-09-09T21:04:06.027817,Pataka,1.0,Right
257,5,2026-09-09T21:04:06.233921,Pataka,1.0,Right
258,5,2026-09-09T21:04:06.468788,Pataka,0.8,Right
259,5,2026-09-09T21:04:06.678536,Pataka,0.8,Right
260,5,2026-09-09T21:04:06.890260,Pataka,0.8,Right
261,5,2026-09-09T21:04:07.114080,Pataka,0.8,Right
262,5,2026-09-09T21:04:07.323103,Pataka,1.0,Right
263,5,2026-09-09T21:04:07.535840,Pataka,0.8,Right
264,5,2026-09-09T21:04:07.761652,Pataka,0.8,Right
265,5,2026-09-09T21:04:07.982480,Pataka,1.0,Right
266,5,2026-09-09T21:04:08.189586,Pataka,0.8,Right
267,5,2026-09-09T21:04:08.393119,Pataka,1.0,Right
268,5,2026-09-09T21:04:08.597924,Pataka,1.0,Right
269,5,2026-09-09T21:04:08.809925,Kartarimukha,1.0,Right
270,5,2026-09-09T21:04:09.030825,Suchi,1.0,Right
271,5,2026-09-09T21:04:09.247886,Kartarimukha,1.0,Right
272,5,2026-09-09T21:04:09.466622,Kartarimukha,1.0,Right
273,5,2026-09-09T21:04:09.718566,Kartarimukha,1.0,Right
274,5,2026-09-09T21:04:09.980332,Kartarimukha,1.0,Right
275,5,2026-09-09T21:04:10.131299,Kartarimukha,1.0,Right
276,5,2026-09-09T21:04:10.337263,Kartarimukha,1.0,Right
277,5,2026-09-09T21:04:10.549026,Tripataka,1.0,Right
278,5,2026-09-09T21:04:10.772055,Ardhapataka,1.0,Right
279,5,2026-09-09T21:04:10.981759,Tripataka,1.0,Right
280,5,2026-09-09T21:04:11.191494,Ardhapataka,1.0,Right
281,5,2026-09-09T21:04:11.527117,Ardhapataka,1.0,Right
282,5,2026-09-09T21:04:11.716240,Pataka,1.0,Right
283,5,2026-09-09T21:04:11.914980,Pataka,1.0,Right
284,5,2026-09-09T21:04:12.100994,Pataka,1.0,Right
285,5,2026-09-09T21:04:12.297376,Pataka,1.0,Right
286,5,2026-09-09T21:04:12.499525,Mushti,1.0,Right
287,5,2026-09-09T21:04:12.683177,Mushti,1.0,Right
288,5,2026-09-09T21:04:12.876018,Shikhara,1.0,Right
289,5,2026-09-09T21:04:13.064152,Shikhara,1.0,Left
290,5,2026-09-09T21:04:13.336026,Shikhara,1.0,Right
291,5,2026-09-09T21:04:13.511193,Shikhara,1.0,Right
292,5,2026-09-09T21:04:13.621598,Shikhara,1.0,Left
293,5,2026-09-09T21:04:13.735212,Shikhara,1.0,Right
294,5,2026-09-09T21:04:13.957247,Shikhara,1.0,Right
295,5,2026-09-09T21:04:14.159324,Shikhara,1.0,Left
296,5,2026-09-09T21:04:14.340297,Shikhara,1.0,Left
297,5,2026-09-09T21:04:14.531374,Mushti,1.0,Left
298,5,2026-09-09T21:04:14.722478,Ardhachandra,1.0,Right
299,5,2026-09-09T21:04:14.916835,Ardhachandra,1.0,Left
300,5,2026-09-09T21:04:15.098139,Ardhachandra,1.0,Right
301,5,2026-09-09T21:04:15.309318,Pataka,1.0,Right
302,5,2026-09-09T21:04:15.508495,Pataka,1.0,Right
303,5,2026-09-09T21:04:15.699795,Pataka,1.0,Right
304,5,2026-09-09T21:04:15.892327,Pataka,1.0,Left
305,5,2026-09-09T21:04:16.090169,Pataka,1.0,Right
306,5,2026-09-09T21:04:16.275814,Shikhara,1.0,Left
307,5,2026-09-09T21:04:16.415355,Shikhara,1.0,Left
308,5,2026-09-09T21:04:16.639771,Shikhara,1.0,Left
309,5,2026-09-09T21:04:16.817868,Shikhara,1.0,Left
310,5,2026-09-09T21:04:17.128438,Shikhara,1.0,Left
311,5,2026-09-09T21:04:17.318854,Shikhara,1.0,Left
312,5,2026-09-09T21:04:17.541402,Shikhara,1.0,Left
313,5,2026-09-09T21:04:17.743238,Shikhara,1.0,Right
